feature	index	idf
me	114	4.574216545793796
me encantó	115	4.574216545793796
mejor	116	4.574216545793796
mejor de	117	4.574216545793796
muy	118	3.2749335616635356
muy buena	119	4.574216545793796
muy decepcionado	120	4.574216545793796
muy mala	121	4.574216545793796
muy satisfecho	122	4.574216545793796
nada	123	3.5133445851085336
nada recomendable	124	4.574216545793796
no	125	3.9382277790737996
no lo	126	4.574216545793796
no vuelvo	127	4.574216545793796
nunca	128	3.635946907200866
odio	129	4.574216545793796
odio este	130	4.574216545793796
para	131	3.8270021439635755
para nada	132	3.8270021439635755
peor	133	4.574216545793796
peor de	134	4.574216545793796
perfecto	135	4.574216545793796
personal	136	3.9382277790737996
personal 10	137	5.672828834461906
personal jamás	138	5.385146762010125
personal nunca	139	5.385146762010125
poco	140	4.574216545793796
poco confiable	141	4.574216545793796
precio	142	4.574216545793796
precio justo	143	4.574216545793796
producto	144	3.9382277790737996
producto 10	145	5.672828834461906
producto en	146	5.672828834461906
producto jamás	147	5.672828834461906
pésimo	148	4.574216545793796
pésimo servicio	149	4.574216545793796
recomendable	150	3.9382277790737996
recomendable 10	151	4.979681653901961
recomendable jamás	152	5.672828834461906
recomendable la	153	5.672828834461906
recomiendo	154	3.9382277790737996
recomiendo 10	155	5.672828834461906
recomiendo nunca	156	5.672828834461906
recomiendo totalmente	157	4.574216545793796
roto	158	4.574216545793796
roto 10	159	5.385146762010125
rápido	160	4.574216545793796
rápido confiable	161	4.574216545793796
satisfecho	162	4.574216545793796
satisfecho súper	163	5.672828834461906
serio	164	3.6803986697717
servicio	165	3.9382277790737996
servicio 10	166	5.672828834461906
servicio jamás	167	5.672828834461906
servicio la	168	5.672828834461906
servicio nunca	169	5.162003210695915
soporte	170	3.9382277790737996
soporte fue	171	3.9382277790737996
superior	172	4.574216545793796
súper	173	3.4041452931435416
súper recomendable	174	4.574216545793796
tarde	175	4.574216545793796
tarde en	176	5.672828834461906
terrible	177	4.574216545793796
terrible 10	178	5.672828834461906
terrible la	179	5.672828834461906
tiempo	180	4.574216545793796
tiempo 10	181	5.672828834461906
tiempo de	182	5.672828834461906
tiempo súper	183	5.672828834461906
todo	184	4.574216545793796
todo llegó	185	4.574216545793796
totalmente	186	4.574216545793796
totalmente 10	187	5.385146762010125
trato	188	3.9382277790737996
trato del	189	3.9382277790737996
una	190	4.574216545793796
una estrella	191	4.574216545793796
verdad	192	2.900240112222125
volveré	193	4.574216545793796
volveré comprar	194	4.574216545793796
vuelvo	195	4.574216545793796
vuelvo comprar	196	4.574216545793796
